Tahun,Bulan,soekarno_hatta_jakarta_domestik,ngurah_rai_bali_domestik,juanda_surabaya_domestik,kualanamu_medan_domestik,hasanudin_makassar_domestik,soekarno_hatta_jakarta_internasional,ngurah_rai_bali_internasional,juanda_surabaya_internasional,kualanamu_medan_internasional
2025,Jan,1338527,404470,423408,229697,256929,771475,404470,99316,112283
2025,Feb,1237338,294415,359514,173320,214575,725336,294415,96741,106270
2025,Mar,1195292,236908,331006,153982,191241,653219,236908,78843,78160
2025,Apr,1347120,366090,547950,232023,284832,672003,366090,93007,101992
2025,Mei,1218900,345626,434340,169674,207855,709041,345626,85230,95242
2025,Jun,1328452,370446,437774,189117,246555,681599,370446,84665,99483
2025,Jul,1481258,433518,476281,211247,274521,756403,433518,104114,99230
2025,Agu,1402740,426815,410380,185670,245166,814161,426815,106396,97257
2025,Sep,1326308,362545,402258,173352,236812,755405,362545,104482,95413
2025,Okt,1486609,366935,458570,187983,253309,762922,366935,100986,89744
2025,Nov,1481678,333863,416647,171742,249881,759001,333863,96728,90102
2025,Des,1585607,372049,451273,176338,244864,861123,563303,107477,103863
